frase,codice
80 più 25,print(80 + 25)
somma 80 e 30,print(80 + 30)
addiziona 80 e 30,print(80 + 30)
calcola 80 più 30,print(80 + 30)
80 più 30,print(80 + 30)
somma 80 e 35,print(80 + 35)
addiziona 80 e 35,print(80 + 35)
calcola 80 più 35,print(80 + 35)
80 più 35,print(80 + 35)
somma 80 e 40,print(80 + 40)
addiziona 80 e 40,print(80 + 40)
calcola 80 più 40,print(80 + 40)
80 più 40,print(80 + 40)
somma 80 e 45,print(80 + 45)
addiziona 80 e 45,print(80 + 45)
calcola 80 più 45,print(80 + 45)
80 più 45,print(80 + 45)
somma 80 e 50,print(80 + 50)
addiziona 80 e 50,print(80 + 50)
calcola 80 più 50,print(80 + 50)
80 più 50,print(80 + 50)
somma 85 e 0,print(85 + 0)
addiziona 85 e 0,print(85 + 0)
calcola 85 più 0,print(85 + 0)
85 più 0,print(85 + 0)
somma 85 e 5,print(85 + 5)
addiziona 85 e 5,print(85 + 5)
calcola 85 più 5,print(85 + 5)
85 più 5,print(85 + 5)
somma 85 e 10,print(85 + 10)
addiziona 85 e 10,print(85 + 10)
calcola 85 più 10,print(85 + 10)
85 più 10,print(85 + 10)
somma 85 e 15,print(85 + 15)
addiziona 85 e 15,print(85 + 15)
calcola 85 più 15,print(85 + 15)
85 più 15,print(85 + 15)
somma 85 e 20,print(85 + 20)
addiziona 85 e 20,print(85 + 20)
calcola 85 più 20,print(85 + 20)
85 più 20,print(85 + 20)
somma 85 e 25,print(85 + 25)
addiziona 85 e 25,print(85 + 25)
calcola 85 più 25,print(85 + 25)
85 più 25,print(85 + 25)
somma 85 e 30,print(85 + 30)
addiziona 85 e 30,print(85 + 30)
calcola 85 più 30,print(85 + 30)
85 più 30,print(85 + 30)
somma 85 e 35,print(85 + 35)
addiziona 85 e 35,print(85 + 35)
calcola 85 più 35,print(85 + 35)
85 più 35,print(85 + 35)
somma 85 e 40,print(85 + 40)
addiziona 85 e 40,print(85 + 40)
calcola 85 più 40,print(85 + 40)
85 più 40,print(85 + 40)
somma 85 e 45,print(85 + 45)
addiziona 85 e 45,print(85 + 45)
calcola 85 più 45,print(85 + 45)
85 più 45,print(85 + 45)
somma 85 e 50,print(85 + 50)
addiziona 85 e 50,print(85 + 50)
calcola 85 più 50,print(85 + 50)
85 più 50,print(85 + 50)
somma 90 e 0,print(90 + 0)
addiziona 90 e 0,print(90 + 0)
calcola 90 più 0,print(90 + 0)
90 più 0,print(90 + 0)
somma 90 e 5,print(90 + 5)
addiziona 90 e 5,print(90 + 5)
calcola 90 più 5,print(90 + 5)
90 più 5,print(90 + 5)
somma 90 e 10,print(90 + 10)
addiziona 90 e 10,print(90 + 10)
calcola 90 più 10,print(90 + 10)
90 più 10,print(90 + 10)
somma 90 e 15,print(90 + 15)
addiziona 90 e 15,print(90 + 15)
calcola 90 più 15,print(90 + 15)
90 più 15,print(90 + 15)
somma 90 e 20,print(90 + 20)
addiziona 90 e 20,print(90 + 20)
calcola 90 più 20,print(90 + 20)
90 più 20,print(90 + 20)
somma 90 e 25,print(90 + 25)
addiziona 90 e 25,print(90 + 25)
calcola 90 più 25,print(90 + 25)
90 più 25,print(90 + 25)
somma 90 e 30,print(90 + 30)
addiziona 90 e 30,print(90 + 30)
calcola 90 più 30,print(90 + 30)
90 più 30,print(90 + 30)
somma 90 e 35,print(90 + 35)
addiziona 90 e 35,print(90 + 35)
calcola 90 più 35,print(90 + 35)
90 più 35,print(90 + 35)
somma 90 e 40,print(90 + 40)
addiziona 90 e 40,print(90 + 40)
calcola 90 più 40,print(90 + 40)
90 più 40,print(90 + 40)
somma 90 e 45,print(90 + 45)
addiziona 90 e 45,print(90 + 45)
calcola 90 più 45,print(90 + 45)
90 più 45,print(90 + 45)
somma 90 e 50,print(90 + 50)
addiziona 90 e 50,print(90 + 50)
calcola 90 più 50,print(90 + 50)
90 più 50,print(90 + 50)
somma 95 e 0,print(95 + 0)
addiziona 95 e 0,print(95 + 0)
calcola 95 più 0,print(95 + 0)
95 più 0,print(95 + 0)
somma 95 e 5,print(95 + 5)
addiziona 95 e 5,print(95 + 5)
calcola 95 più 5,print(95 + 5)
95 più 5,print(95 + 5)
somma 95 e 10,print(95 + 10)
addiziona 95 e 10,print(95 + 10)
calcola 95 più 10,print(95 + 10)
95 più 10,print(95 + 10)
somma 95 e 15,print(95 + 15)
addiziona 95 e 15,print(95 + 15)
calcola 95 più 15,print(95 + 15)
95 più 15,print(95 + 15)
somma 95 e 20,print(95 + 20)
addiziona 95 e 20,print(95 + 20)
calcola 95 più 20,print(95 + 20)
95 più 20,print(95 + 20)
somma 95 e 25,print(95 + 25)
addiziona 95 e 25,print(95 + 25)
calcola 95 più 25,print(95 + 25)
95 più 25,print(95 + 25)
somma 95 e 30,print(95 + 30)
addiziona 95 e 30,print(95 + 30)
calcola 95 più 30,print(95 + 30)
95 più 30,print(95 + 30)
somma 95 e 35,print(95 + 35)
addiziona 95 e 35,print(95 + 35)
calcola 95 più 35,print(95 + 35)
95 più 35,print(95 + 35)
somma 95 e 40,print(95 + 40)
addiziona 95 e 40,print(95 + 40)
calcola 95 più 40,print(95 + 40)
95 più 40,print(95 + 40)
somma 95 e 45,print(95 + 45)
addiziona 95 e 45,print(95 + 45)
calcola 95 più 45,print(95 + 45)
95 più 45,print(95 + 45)
somma 95 e 50,print(95 + 50)
addiziona 95 e 50,print(95 + 50)
calcola 95 più 50,print(95 + 50)
95 più 50,print(95 + 50)
somma 100 e 0,print(100 + 0)
addiziona 100 e 0,print(100 + 0)
calcola 100 più 0,print(100 + 0)
100 più 0,print(100 + 0)
somma 100 e 5,print(100 + 5)
addiziona 100 e 5,print(100 + 5)
calcola 100 più 5,print(100 + 5)
100 più 5,print(100 + 5)
somma 100 e 10,print(100 + 10)
addiziona 100 e 10,print(100 + 10)
calcola 100 più 10,print(100 + 10)
100 più 10,print(100 + 10)
somma 100 e 15,print(100 + 15)
addiziona 100 e 15,print(100 + 15)
calcola 100 più 15,print(100 + 15)
100 più 15,print(100 + 15)
somma 100 e 20,print(100 + 20)
addiziona 100 e 20,print(100 + 20)
calcola 100 più 20,print(100 + 20)
100 più 20,print(100 + 20)
somma 100 e 25,print(100 + 25)
addiziona 100 e 25,print(100 + 25)
calcola 100 più 25,print(100 + 25)
100 più 25,print(100 + 25)
somma 100 e 30,print(100 + 30)
addiziona 100 e 30,print(100 + 30)
calcola 100 più 30,print(100 + 30)
100 più 30,print(100 + 30)
somma 100 e 35,print(100 + 35)
addiziona 100 e 35,print(100 + 35)
calcola 100 più 35,print(100 + 35)
100 più 35,print(100 + 35)
somma 100 e 40,print(100 + 40)
addiziona 100 e 40,print(100 + 40)
calcola 100 più 40,print(100 + 40)
100 più 40,print(100 + 40)
somma 100 e 45,print(100 + 45)
addiziona 100 e 45,print(100 + 45)
calcola 100 più 45,print(100 + 45)
100 più 45,print(100 + 45)
somma 100 e 50,print(100 + 50)
addiziona 100 e 50,print(100 + 50)
calcola 100 più 50,print(100 + 50)
100 più 50,print(100 + 50)
sottrai 0 da 0,print(0 - 0)
0 meno 0,print(0 - 0)
togli 0 da 0,print(0 - 0)
sottrai 0 da 5,print(5 - 0)
5 meno 0,print(5 - 0)
togli 0 da 5,print(5 - 0)
sottrai 5 da 5,print(5 - 5)
5 meno 5,print(5 - 5)
togli 5 da 5,print(5 - 5)
sottrai 0 da 10,print(10 - 0)
10 meno 0,print(10 - 0)
togli 0 da 10,print(10 - 0)
sottrai 5 da 10,print(10 - 5)
10 meno 5,print(10 - 5)
togli 5 da 10,print(10 - 5)
sottrai 10 da 10,print(10 - 10)
10 meno 10,print(10 - 10)
togli 10 da 10,print(10 - 10)
sottrai 0 da 15,print(15 - 0)
15 meno 0,print(15 - 0)
togli 0 da 15,print(15 - 0)
sottrai 5 da 15,print(15 - 5)
15 meno 5,print(15 - 5)
togli 5 da 15,print(15 - 5)
sottrai 10 da 15,print(15 - 10)
15 meno 10,print(15 - 10)
togli 10 da 15,print(15 - 10)
sottrai 15 da 15,print(15 - 15)
15 meno 15,print(15 - 15)
togli 15 da 15,print(15 - 15)
sottrai 0 da 20,print(20 - 0)
20 meno 0,print(20 - 0)
togli 0 da 20,print(20 - 0)
sottrai 5 da 20,print(20 - 5)
20 meno 5,print(20 - 5)
togli 5 da 20,print(20 - 5)
sottrai 10 da 20,print(20 - 10)
20 meno 10,print(20 - 10)
togli 10 da 20,print(20 - 10)
sottrai 15 da 20,print(20 - 15)
20 meno 15,print(20 - 15)
togli 15 da 20,print(20 - 15)
sottrai 20 da 20,print(20 - 20)
20 meno 20,print(20 - 20)
togli 20 da 20,print(20 - 20)
sottrai 0 da 25,print(25 - 0)
25 meno 0,print(25 - 0)
togli 0 da 25,print(25 - 0)
sottrai 5 da 25,print(25 - 5)
25 meno 5,print(25 - 5)
togli 5 da 25,print(25 - 5)
sottrai 10 da 25,print(25 - 10)
25 meno 10,print(25 - 10)
togli 10 da 25,print(25 - 10)
sottrai 15 da 25,print(25 - 15)
25 meno 15,print(25 - 15)
togli 15 da 25,print(25 - 15)
sottrai 20 da 25,print(25 - 20)
25 meno 20,print(25 - 20)
togli 20 da 25,print(25 - 20)
sottrai 25 da 25,print(25 - 25)
25 meno 25,print(25 - 25)
togli 25 da 25,print(25 - 25)
sottrai 0 da 30,print(30 - 0)
30 meno 0,print(30 - 0)
togli 0 da 30,print(30 - 0)
sottrai 5 da 30,print(30 - 5)
30 meno 5,print(30 - 5)
togli 5 da 30,print(30 - 5)
sottrai 10 da 30,print(30 - 10)
30 meno 10,print(30 - 10)
togli 10 da 30,print(30 - 10)
sottrai 15 da 30,print(30 - 15)
30 meno 15,print(30 - 15)
togli 15 da 30,print(30 - 15)
sottrai 20 da 30,print(30 - 20)
30 meno 20,print(30 - 20)
togli 20 da 30,print(30 - 20)
sottrai 25 da 30,print(30 - 25)
30 meno 25,print(30 - 25)
togli 25 da 30,print(30 - 25)
sottrai 30 da 30,print(30 - 30)
30 meno 30,print(30 - 30)
togli 30 da 30,print(30 - 30)
sottrai 0 da 35,print(35 - 0)
35 meno 0,print(35 - 0)
togli 0 da 35,print(35 - 0)
sottrai 5 da 35,print(35 - 5)
35 meno 5,print(35 - 5)
togli 5 da 35,print(35 - 5)
sottrai 10 da 35,print(35 - 10)
35 meno 10,print(35 - 10)
togli 10 da 35,print(35 - 10)
sottrai 15 da 35,print(35 - 15)
35 meno 15,print(35 - 15)
togli 15 da 35,print(35 - 15)
sottrai 20 da 35,print(35 - 20)
35 meno 20,print(35 - 20)
togli 20 da 35,print(35 - 20)
sottrai 25 da 35,print(35 - 25)
35 meno 25,print(35 - 25)
togli 25 da 35,print(35 - 25)
sottrai 30 da 35,print(35 - 30)
35 meno 30,print(35 - 30)
togli 30 da 35,print(35 - 30)
sottrai 35 da 35,print(35 - 35)
35 meno 35,print(35 - 35)
togli 35 da 35,print(35 - 35)
sottrai 0 da 40,print(40 - 0)
40 meno 0,print(40 - 0)
togli 0 da 40,print(40 - 0)
sottrai 5 da 40,print(40 - 5)
40 meno 5,print(40 - 5)
togli 5 da 40,print(40 - 5)
sottrai 10 da 40,print(40 - 10)
40 meno 10,print(40 - 10)
togli 10 da 40,print(40 - 10)
sottrai 15 da 40,print(40 - 15)
40 meno 15,print(40 - 15)
togli 15 da 40,print(40 - 15)
sottrai 20 da 40,print(40 - 20)
40 meno 20,print(40 - 20)
togli 20 da 40,print(40 - 20)
sottrai 25 da 40,print(40 - 25)
40 meno 25,print(40 - 25)
togli 25 da 40,print(40 - 25)
sottrai 30 da 40,print(40 - 30)
40 meno 30,print(40 - 30)
togli 30 da 40,print(40 - 30)
sottrai 35 da 40,print(40 - 35)
40 meno 35,print(40 - 35)
togli 35 da 40,print(40 - 35)
sottrai 40 da 40,print(40 - 40)
40 meno 40,print(40 - 40)
togli 40 da 40,print(40 - 40)
sottrai 0 da 45,print(45 - 0)
45 meno 0,print(45 - 0)
togli 0 da 45,print(45 - 0)
sottrai 5 da 45,print(45 - 5)
45 meno 5,print(45 - 5)
togli 5 da 45,print(45 - 5)
sottrai 10 da 45,print(45 - 10)
45 meno 10,print(45 - 10)
togli 10 da 45,print(45 - 10)
sottrai 15 da 45,print(45 - 15)
45 meno 15,print(45 - 15)
togli 15 da 45,print(45 - 15)
sottrai 20 da 45,print(45 - 20)
45 meno 20,print(45 - 20)
togli 20 da 45,print(45 - 20)
sottrai 25 da 45,print(45 - 25)
45 meno 25,print(45 - 25)
togli 25 da 45,print(45 - 25)
sottrai 30 da 45,print(45 - 30)
45 meno 30,print(45 - 30)
togli 30 da 45,print(45 - 30)
sottrai 35 da 45,print(45 - 35)
45 meno 35,print(45 - 35)
togli 35 da 45,print(45 - 35)
sottrai 40 da 45,print(45 - 40)
45 meno 40,print(45 - 40)
togli 40 da 45,print(45 - 40)
sottrai 45 da 45,print(45 - 45)
45 meno 45,print(45 - 45)
togli 45 da 45,print(45 - 45)
sottrai 0 da 50,print(50 - 0)
50 meno 0,print(50 - 0)
togli 0 da 50,print(50 - 0)
sottrai 5 da 50,print(50 - 5)
50 meno 5,print(50 - 5)
togli 5 da 50,print(50 - 5)
sottrai 10 da 50,print(50 - 10)
50 meno 10,print(50 - 10)
togli 10 da 50,print(50 - 10)
sottrai 15 da 50,print(50 - 15)
50 meno 15,print(50 - 15)
togli 15 da 50,print(50 - 15)
sottrai 20 da 50,print(50 - 20)
50 meno 20,print(50 - 20)
togli 20 da 50,print(50 - 20)
sottrai 25 da 50,print(50 - 25)
50 meno 25,print(50 - 25)
togli 25 da 50,print(50 - 25)
sottrai 30 da 50,print(50 - 30)
50 meno 30,print(50 - 30)
togli 30 da 50,print(50 - 30)
sottrai 35 da 50,print(50 - 35)
50 meno 35,print(50 - 35)
togli 35 da 50,print(50 - 35)
sottrai 40 da 50,print(50 - 40)
50 meno 40,print(50 - 40)
togli 40 da 50,print(50 - 40)
sottrai 45 da 50,print(50 - 45)
50 meno 45,print(50 - 45)
togli 45 da 50,print(50 - 45)
sottrai 50 da 50,print(50 - 50)
50 meno 50,print(50 - 50)
togli 50 da 50,print(50 - 50)
sottrai 0 da 55,print(55 - 0)
55 meno 0,print(55 - 0)
togli 0 da 55,print(55 - 0)
sottrai 5 da 55,print(55 - 5)
55 meno 5,print(55 - 5)
togli 5 da 55,print(55 - 5)
sottrai 10 da 55,print(55 - 10)
55 meno 10,print(55 - 10)
togli 10 da 55,print(55 - 10)
sottrai 15 da 55,print(55 - 15)
55 meno 15,print(55 - 15)
togli 15 da 55,print(55 - 15)
sottrai 20 da 55,print(55 - 20)
55 meno 20,print(55 - 20)
togli 20 da 55,print(55 - 20)
sottrai 25 da 55,print(55 - 25)
55 meno 25,print(55 - 25)
togli 25 da 55,print(55 - 25)
sottrai 30 da 55,print(55 - 30)
55 meno 30,print(55 - 30)
togli 30 da 55,print(55 - 30)
sottrai 35 da 55,print(55 - 35)
55 meno 35,print(55 - 35)
togli 35 da 55,print(55 - 35)
sottrai 40 da 55,print(55 - 40)
55 meno 40,print(55 - 40)
togli 40 da 55,print(55 - 40)
sottrai 45 da 55,print(55 - 45)
55 meno 45,print(55 - 45)
togli 45 da 55,print(55 - 45)
sottrai 50 da 55,print(55 - 50)
55 meno 50,print(55 - 50)
togli 50 da 55,print(55 - 50)
sottrai 0 da 60,print(60 - 0)
60 meno 0,print(60 - 0)
togli 0 da 60,print(60 - 0)
sottrai 5 da 60,print(60 - 5)
60 meno 5,print(60 - 5)
togli 5 da 60,print(60 - 5)
sottrai 10 da 60,print(60 - 10)
60 meno 10,print(60 - 10)
togli 10 da 60,print(60 - 10)
sottrai 15 da 60,print(60 - 15)
60 meno 15,print(60 - 15)
togli 15 da 60,print(60 - 15)
sottrai 20 da 60,print(60 - 20)
60 meno 20,print(60 - 20)
togli 20 da 60,print(60 - 20)
sottrai 25 da 60,print(60 - 25)
60 meno 25,print(60 - 25)
togli 25 da 60,print(60 - 25)
sottrai 30 da 60,print(60 - 30)
60 meno 30,print(60 - 30)
togli 30 da 60,print(60 - 30)
sottrai 35 da 60,print(60 - 35)
60 meno 35,print(60 - 35)
togli 35 da 60,print(60 - 35)
sottrai 40 da 60,print(60 - 40)
60 meno 40,print(60 - 40)
togli 40 da 60,print(60 - 40)
sottrai 45 da 60,print(60 - 45)
60 meno 45,print(60 - 45)
togli 45 da 60,print(60 - 45)
sottrai 50 da 60,print(60 - 50)
60 meno 50,print(60 - 50)
togli 50 da 60,print(60 - 50)
sottrai 0 da 65,print(65 - 0)
65 meno 0,print(65 - 0)
togli 0 da 65,print(65 - 0)
sottrai 5 da 65,print(65 - 5)
65 meno 5,print(65 - 5)
togli 5 da 65,print(65 - 5)
sottrai 10 da 65,print(65 - 10)
65 meno 10,print(65 - 10)
togli 10 da 65,print(65 - 10)
sottrai 15 da 65,print(65 - 15)
65 meno 15,print(65 - 15)
togli 15 da 65,print(65 - 15)
sottrai 20 da 65,print(65 - 20)
65 meno 20,print(65 - 20)
togli 20 da 65,print(65 - 20)
sottrai 25 da 65,print(65 - 25)
65 meno 25,print(65 - 25)
togli 25 da 65,print(65 - 25)
sottrai 30 da 65,print(65 - 30)
65 meno 30,print(65 - 30)
togli 30 da 65,print(65 - 30)
sottrai 35 da 65,print(65 - 35)
65 meno 35,print(65 - 35)
togli 35 da 65,print(65 - 35)
sottrai 40 da 65,print(65 - 40)
65 meno 40,print(65 - 40)
togli 40 da 65,print(65 - 40)
sottrai 45 da 65,print(65 - 45)
65 meno 45,print(65 - 45)
togli 45 da 65,print(65 - 45)
sottrai 50 da 65,print(65 - 50)
65 meno 50,print(65 - 50)
togli 50 da 65,print(65 - 50)
sottrai 0 da 70,print(70 - 0)
70 meno 0,print(70 - 0)
togli 0 da 70,print(70 - 0)
sottrai 5 da 70,print(70 - 5)
70 meno 5,print(70 - 5)
togli 5 da 70,print(70 - 5)
sottrai 10 da 70,print(70 - 10)
70 meno 10,print(70 - 10)
togli 10 da 70,print(70 - 10)
sottrai 15 da 70,print(70 - 15)
70 meno 15,print(70 - 15)
togli 15 da 70,print(70 - 15)
sottrai 20 da 70,print(70 - 20)
70 meno 20,print(70 - 20)
togli 20 da 70,print(70 - 20)
sottrai 25 da 70,print(70 - 25)
70 meno 25,print(70 - 25)
togli 25 da 70,print(70 - 25)
sottrai 30 da 70,print(70 - 30)
70 meno 30,print(70 - 30)
togli 30 da 70,print(70 - 30)
sottrai 35 da 70,print(70 - 35)
70 meno 35,print(70 - 35)
togli 35 da 70,print(70 - 35)
sottrai 40 da 70,print(70 - 40)
70 meno 40,print(70 - 40)
togli 40 da 70,print(70 - 40)
sottrai 45 da 70,print(70 - 45)
70 meno 45,print(70 - 45)
togli 45 da 70,print(70 - 45)
sottrai 50 da 70,print(70 - 50)
70 meno 50,print(70 - 50)
togli 50 da 70,print(70 - 50)
sottrai 0 da 75,print(75 - 0)
75 meno 0,print(75 - 0)
togli 0 da 75,print(75 - 0)
sottrai 5 da 75,print(75 - 5)
75 meno 5,print(75 - 5)
togli 5 da 75,print(75 - 5)
sottrai 10 da 75,print(75 - 10)
75 meno 10,print(75 - 10)
togli 10 da 75,print(75 - 10)
sottrai 15 da 75,print(75 - 15)
75 meno 15,print(75 - 15)
togli 15 da 75,print(75 - 15)
sottrai 20 da 75,print(75 - 20)
75 meno 20,print(75 - 20)
togli 20 da 75,print(75 - 20)
sottrai 25 da 75,print(75 - 25)
75 meno 25,print(75 - 25)
togli 25 da 75,print(75 - 25)
sottrai 30 da 75,print(75 - 30)
75 meno 30,print(75 - 30)
togli 30 da 75,print(75 - 30)
sottrai 35 da 75,print(75 - 35)
75 meno 35,print(75 - 35)
togli 35 da 75,print(75 - 35)
sottrai 40 da 75,print(75 - 40)
75 meno 40,print(75 - 40)
togli 40 da 75,print(75 - 40)
sottrai 45 da 75,print(75 - 45)
75 meno 45,print(75 - 45)
togli 45 da 75,print(75 - 45)
sottrai 50 da 75,print(75 - 50)
75 meno 50,print(75 - 50)
togli 50 da 75,print(75 - 50)
sottrai 0 da 80,print(80 - 0)
80 meno 0,print(80 - 0)
togli 0 da 80,print(80 - 0)
sottrai 5 da 80,print(80 - 5)
80 meno 5,print(80 - 5)
togli 5 da 80,print(80 - 5)
sottrai 10 da 80,print(80 - 10)
80 meno 10,print(80 - 10)
togli 10 da 80,print(80 - 10)
sottrai 15 da 80,print(80 - 15)
80 meno 15,print(80 - 15)
togli 15 da 80,print(80 - 15)
sottrai 20 da 80,print(80 - 20)
80 meno 20,print(80 - 20)
togli 20 da 80,print(80 - 20)
sottrai 25 da 80,print(80 - 25)
80 meno 25,print(80 - 25)
togli 25 da 80,print(80 - 25)
sottrai 30 da 80,print(80 - 30)
80 meno 30,print(80 - 30)
togli 30 da 80,print(80 - 30)
sottrai 35 da 80,print(80 - 35)
80 meno 35,print(80 - 35)
togli 35 da 80,print(80 - 35)
sottrai 40 da 80,print(80 - 40)
80 meno 40,print(80 - 40)
togli 40 da 80,print(80 - 40)
sottrai 45 da 80,print(80 - 45)
80 meno 45,print(80 - 45)
togli 45 da 80,print(80 - 45)
sottrai 50 da 80,print(80 - 50)
80 meno 50,print(80 - 50)
togli 50 da 80,print(80 - 50)
sottrai 0 da 85,print(85 - 0)
85 meno 0,print(85 - 0)
togli 0 da 85,print(85 - 0)
sottrai 5 da 85,print(85 - 5)
85 meno 5,print(85 - 5)
togli 5 da 85,print(85 - 5)
sottrai 10 da 85,print(85 - 10)
85 meno 10,print(85 - 10)
togli 10 da 85,print(85 - 10)
sottrai 15 da 85,print(85 - 15)
85 meno 15,print(85 - 15)
togli 15 da 85,print(85 - 15)
sottrai 20 da 85,print(85 - 20)
85 meno 20,print(85 - 20)
togli 20 da 85,print(85 - 20)
sottrai 25 da 85,print(85 - 25)
85 meno 25,print(85 - 25)
togli 25 da 85,print(85 - 25)
sottrai 30 da 85,print(85 - 30)
85 meno 30,print(85 - 30)
togli 30 da 85,print(85 - 30)
sottrai 35 da 85,print(85 - 35)
85 meno 35,print(85 - 35)
togli 35 da 85,print(85 - 35)
sottrai 40 da 85,print(85 - 40)
85 meno 40,print(85 - 40)
togli 40 da 85,print(85 - 40)
sottrai 45 da 85,print(85 - 45)
85 meno 45,print(85 - 45)
togli 45 da 85,print(85 - 45)
sottrai 50 da 85,print(85 - 50)
85 meno 50,print(85 - 50)
togli 50 da 85,print(85 - 50)
sottrai 0 da 90,print(90 - 0)
90 meno 0,print(90 - 0)
togli 0 da 90,print(90 - 0)
sottrai 5 da 90,print(90 - 5)
90 meno 5,print(90 - 5)
togli 5 da 90,print(90 - 5)
sottrai 10 da 90,print(90 - 10)
90 meno 10,print(90 - 10)
togli 10 da 90,print(90 - 10)
sottrai 15 da 90,print(90 - 15)
90 meno 15,print(90 - 15)
togli 15 da 90,print(90 - 15)
sottrai 20 da 90,print(90 - 20)
90 meno 20,print(90 - 20)
togli 20 da 90,print(90 - 20)
sottrai 25 da 90,print(90 - 25)
90 meno 25,print(90 - 25)
togli 25 da 90,print(90 - 25)
sottrai 30 da 90,print(90 - 30)
90 meno 30,print(90 - 30)
togli 30 da 90,print(90 - 30)
sottrai 35 da 90,print(90 - 35)
90 meno 35,print(90 - 35)
togli 35 da 90,print(90 - 35)
sottrai 40 da 90,print(90 - 40)
90 meno 40,print(90 - 40)
togli 40 da 90,print(90 - 40)
sottrai 45 da 90,print(90 - 45)
90 meno 45,print(90 - 45)
togli 45 da 90,print(90 - 45)
sottrai 50 da 90,print(90 - 50)
90 meno 50,print(90 - 50)
togli 50 da 90,print(90 - 50)
sottrai 0 da 95,print(95 - 0)
95 meno 0,print(95 - 0)
togli 0 da 95,print(95 - 0)
sottrai 5 da 95,print(95 - 5)
95 meno 5,print(95 - 5)
togli 5 da 95,print(95 - 5)
sottrai 10 da 95,print(95 - 10)
95 meno 10,print(95 - 10)
togli 10 da 95,print(95 - 10)
sottrai 15 da 95,print(95 - 15)
95 meno 15,print(95 - 15)
togli 15 da 95,print(95 - 15)
sottrai 20 da 95,print(95 - 20)
95 meno 20,print(95 - 20)
togli 20 da 95,print(95 - 20)
sottrai 25 da 95,print(95 - 25)
95 meno 25,print(95 - 25)
togli 25 da 95,print(95 - 25)
sottrai 30 da 95,print(95 - 30)
95 meno 30,print(95 - 30)
togli 30 da 95,print(95 - 30)
sottrai 35 da 95,print(95 - 35)
95 meno 35,print(95 - 35)
togli 35 da 95,print(95 - 35)
sottrai 40 da 95,print(95 - 40)
95 meno 40,print(95 - 40)
togli 40 da 95,print(95 - 40)
sottrai 45 da 95,print(95 - 45)
95 meno 45,print(95 - 45)
togli 45 da 95,print(95 - 45)
sottrai 50 da 95,print(95 - 50)
95 meno 50,print(95 - 50)
togli 50 da 95,print(95 - 50)
sottrai 0 da 100,print(100 - 0)
100 meno 0,print(100 - 0)
togli 0 da 100,print(100 - 0)
sottrai 5 da 100,print(100 - 5)
100 meno 5,print(100 - 5)
togli 5 da 100,print(100 - 5)
sottrai 10 da 100,print(100 - 10)
100 meno 10,print(100 - 10)
togli 10 da 100,print(100 - 10)
sottrai 15 da 100,print(100 - 15)
100 meno 15,print(100 - 15)
togli 15 da 100,print(100 - 15)
sottrai 20 da 100,print(100 - 20)
100 meno 20,print(100 - 20)
togli 20 da 100,print(100 - 20)
sottrai 25 da 100,print(100 - 25)
100 meno 25,print(100 - 25)
togli 25 da 100,print(100 - 25)
sottrai 30 da 100,print(100 - 30)
100 meno 30,print(100 - 30)
togli 30 da 100,print(100 - 30)
sottrai 35 da 100,print(100 - 35)
100 meno 35,print(100 - 35)
togli 35 da 100,print(100 - 35)
sottrai 40 da 100,print(100 - 40)
100 meno 40,print(100 - 40)
togli 40 da 100,print(100 - 40)
sottrai 45 da 100,print(100 - 45)
100 meno 45,print(100 - 45)
togli 45 da 100,print(100 - 45)
sottrai 50 da 100,print(100 - 50)
100 meno 50,print(100 - 50)
togli 50 da 100,print(100 - 50)
moltiplica 0 per 0,print(0 * 0)
0 volte 0,print(0 * 0)
calcola 0 per 0,print(0 * 0)
moltiplica 0 per 1,print(0 * 1)
0 volte 1,print(0 * 1)
calcola 0 per 1,print(0 * 1)
moltiplica 0 per 2,print(0 * 2)
0 volte 2,print(0 * 2)
calcola 0 per 2,print(0 * 2)
moltiplica 0 per 3,print(0 * 3)
0 volte 3,print(0 * 3)
calcola 0 per 3,print(0 * 3)
moltiplica 0 per 4,print(0 * 4)
0 volte 4,print(0 * 4)
calcola 0 per 4,print(0 * 4)
moltiplica 0 per 5,print(0 * 5)
0 volte 5,print(0 * 5)
calcola 0 per 5,print(0 * 5)
moltiplica 0 per 6,print(0 * 6)
0 volte 6,print(0 * 6)
calcola 0 per 6,print(0 * 6)
moltiplica 0 per 7,print(0 * 7)
0 volte 7,print(0 * 7)
calcola 0 per 7,print(0 * 7)
moltiplica 0 per 8,print(0 * 8)
0 volte 8,print(0 * 8)
calcola 0 per 8,print(0 * 8)
moltiplica 0 per 9,print(0 * 9)
0 volte 9,print(0 * 9)
calcola 0 per 9,print(0 * 9)
moltiplica 0 per 10,print(0 * 10)
0 volte 10,print(0 * 10)
calcola 0 per 10,print(0 * 10)
moltiplica 0 per 11,print(0 * 11)
0 volte 11,print(0 * 11)
calcola 0 per 11,print(0 * 11)
moltiplica 0 per 12,print(0 * 12)
0 volte 12,print(0 * 12)
calcola 0 per 12,print(0 * 12)
moltiplica 0 per 13,print(0 * 13)
0 volte 13,print(0 * 13)
calcola 0 per 13,print(0 * 13)
moltiplica 0 per 14,print(0 * 14)
0 volte 14,print(0 * 14)
calcola 0 per 14,print(0 * 14)
moltiplica 0 per 15,print(0 * 15)
0 volte 15,print(0 * 15)
calcola 0 per 15,print(0 * 15)
moltiplica 0 per 16,print(0 * 16)
0 volte 16,print(0 * 16)
