frase_italiana,codice_python
87 meno 74,print(87 - 74)
87 meno 75,print(87 - 75)
87 meno 76,print(87 - 76)
87 meno 77,print(87 - 77)
87 meno 78,print(87 - 78)
87 meno 79,print(87 - 79)
87 meno 80,print(87 - 80)
87 meno 81,print(87 - 81)
87 meno 82,print(87 - 82)
87 meno 83,print(87 - 83)
87 meno 84,print(87 - 84)
87 meno 85,print(87 - 85)
87 meno 86,print(87 - 86)
87 meno 87,print(87 - 87)
88 meno 0,print(88 - 0)
88 meno 1,print(88 - 1)
88 meno 2,print(88 - 2)
88 meno 3,print(88 - 3)
88 meno 4,print(88 - 4)
88 meno 5,print(88 - 5)
88 meno 6,print(88 - 6)
88 meno 7,print(88 - 7)
88 meno 8,print(88 - 8)
88 meno 9,print(88 - 9)
88 meno 10,print(88 - 10)
88 meno 11,print(88 - 11)
88 meno 12,print(88 - 12)
88 meno 13,print(88 - 13)
88 meno 14,print(88 - 14)
88 meno 15,print(88 - 15)
88 meno 16,print(88 - 16)
88 meno 17,print(88 - 17)
88 meno 18,print(88 - 18)
88 meno 19,print(88 - 19)
88 meno 20,print(88 - 20)
88 meno 21,print(88 - 21)
88 meno 22,print(88 - 22)
88 meno 23,print(88 - 23)
88 meno 24,print(88 - 24)
88 meno 25,print(88 - 25)
88 meno 26,print(88 - 26)
88 meno 27,print(88 - 27)
88 meno 28,print(88 - 28)
88 meno 29,print(88 - 29)
88 meno 30,print(88 - 30)
88 meno 31,print(88 - 31)
88 meno 32,print(88 - 32)
88 meno 33,print(88 - 33)
88 meno 34,print(88 - 34)
88 meno 35,print(88 - 35)
88 meno 36,print(88 - 36)
88 meno 37,print(88 - 37)
88 meno 38,print(88 - 38)
88 meno 39,print(88 - 39)
88 meno 40,print(88 - 40)
88 meno 41,print(88 - 41)
88 meno 42,print(88 - 42)
88 meno 43,print(88 - 43)
88 meno 44,print(88 - 44)
88 meno 45,print(88 - 45)
88 meno 46,print(88 - 46)
88 meno 47,print(88 - 47)
88 meno 48,print(88 - 48)
88 meno 49,print(88 - 49)
88 meno 50,print(88 - 50)
88 meno 51,print(88 - 51)
88 meno 52,print(88 - 52)
88 meno 53,print(88 - 53)
88 meno 54,print(88 - 54)
88 meno 55,print(88 - 55)
88 meno 56,print(88 - 56)
88 meno 57,print(88 - 57)
88 meno 58,print(88 - 58)
88 meno 59,print(88 - 59)
88 meno 60,print(88 - 60)
88 meno 61,print(88 - 61)
88 meno 62,print(88 - 62)
88 meno 63,print(88 - 63)
88 meno 64,print(88 - 64)
88 meno 65,print(88 - 65)
88 meno 66,print(88 - 66)
88 meno 67,print(88 - 67)
88 meno 68,print(88 - 68)
88 meno 69,print(88 - 69)
88 meno 70,print(88 - 70)
88 meno 71,print(88 - 71)
88 meno 72,print(88 - 72)
88 meno 73,print(88 - 73)
88 meno 74,print(88 - 74)
88 meno 75,print(88 - 75)
88 meno 76,print(88 - 76)
88 meno 77,print(88 - 77)
88 meno 78,print(88 - 78)
88 meno 79,print(88 - 79)
88 meno 80,print(88 - 80)
88 meno 81,print(88 - 81)
88 meno 82,print(88 - 82)
88 meno 83,print(88 - 83)
88 meno 84,print(88 - 84)
88 meno 85,print(88 - 85)
88 meno 86,print(88 - 86)
88 meno 87,print(88 - 87)
88 meno 88,print(88 - 88)
89 meno 0,print(89 - 0)
89 meno 1,print(89 - 1)
89 meno 2,print(89 - 2)
89 meno 3,print(89 - 3)
89 meno 4,print(89 - 4)
89 meno 5,print(89 - 5)
89 meno 6,print(89 - 6)
89 meno 7,print(89 - 7)
89 meno 8,print(89 - 8)
89 meno 9,print(89 - 9)
89 meno 10,print(89 - 10)
89 meno 11,print(89 - 11)
89 meno 12,print(89 - 12)
89 meno 13,print(89 - 13)
89 meno 14,print(89 - 14)
89 meno 15,print(89 - 15)
89 meno 16,print(89 - 16)
89 meno 17,print(89 - 17)
89 meno 18,print(89 - 18)
89 meno 19,print(89 - 19)
89 meno 20,print(89 - 20)
89 meno 21,print(89 - 21)
89 meno 22,print(89 - 22)
89 meno 23,print(89 - 23)
89 meno 24,print(89 - 24)
89 meno 25,print(89 - 25)
89 meno 26,print(89 - 26)
89 meno 27,print(89 - 27)
89 meno 28,print(89 - 28)
89 meno 29,print(89 - 29)
89 meno 30,print(89 - 30)
89 meno 31,print(89 - 31)
89 meno 32,print(89 - 32)
89 meno 33,print(89 - 33)
89 meno 34,print(89 - 34)
89 meno 35,print(89 - 35)
89 meno 36,print(89 - 36)
89 meno 37,print(89 - 37)
89 meno 38,print(89 - 38)
89 meno 39,print(89 - 39)
89 meno 40,print(89 - 40)
89 meno 41,print(89 - 41)
89 meno 42,print(89 - 42)
89 meno 43,print(89 - 43)
89 meno 44,print(89 - 44)
89 meno 45,print(89 - 45)
89 meno 46,print(89 - 46)
89 meno 47,print(89 - 47)
89 meno 48,print(89 - 48)
89 meno 49,print(89 - 49)
89 meno 50,print(89 - 50)
89 meno 51,print(89 - 51)
89 meno 52,print(89 - 52)
89 meno 53,print(89 - 53)
89 meno 54,print(89 - 54)
89 meno 55,print(89 - 55)
89 meno 56,print(89 - 56)
89 meno 57,print(89 - 57)
89 meno 58,print(89 - 58)
89 meno 59,print(89 - 59)
89 meno 60,print(89 - 60)
89 meno 61,print(89 - 61)
89 meno 62,print(89 - 62)
89 meno 63,print(89 - 63)
89 meno 64,print(89 - 64)
89 meno 65,print(89 - 65)
89 meno 66,print(89 - 66)
89 meno 67,print(89 - 67)
89 meno 68,print(89 - 68)
89 meno 69,print(89 - 69)
89 meno 70,print(89 - 70)
89 meno 71,print(89 - 71)
89 meno 72,print(89 - 72)
89 meno 73,print(89 - 73)
89 meno 74,print(89 - 74)
89 meno 75,print(89 - 75)
89 meno 76,print(89 - 76)
89 meno 77,print(89 - 77)
89 meno 78,print(89 - 78)
89 meno 79,print(89 - 79)
89 meno 80,print(89 - 80)
89 meno 81,print(89 - 81)
89 meno 82,print(89 - 82)
89 meno 83,print(89 - 83)
89 meno 84,print(89 - 84)
89 meno 85,print(89 - 85)
89 meno 86,print(89 - 86)
89 meno 87,print(89 - 87)
89 meno 88,print(89 - 88)
89 meno 89,print(89 - 89)
90 meno 0,print(90 - 0)
sottrai 0 da 90,print(90 - 0)
90 meno 1,print(90 - 1)
sottrai 1 da 90,print(90 - 1)
90 meno 2,print(90 - 2)
sottrai 2 da 90,print(90 - 2)
90 meno 3,print(90 - 3)
sottrai 3 da 90,print(90 - 3)
90 meno 4,print(90 - 4)
sottrai 4 da 90,print(90 - 4)
90 meno 5,print(90 - 5)
sottrai 5 da 90,print(90 - 5)
90 meno 6,print(90 - 6)
sottrai 6 da 90,print(90 - 6)
90 meno 7,print(90 - 7)
sottrai 7 da 90,print(90 - 7)
90 meno 8,print(90 - 8)
sottrai 8 da 90,print(90 - 8)
90 meno 9,print(90 - 9)
sottrai 9 da 90,print(90 - 9)
90 meno 10,print(90 - 10)
sottrai 10 da 90,print(90 - 10)
90 meno 11,print(90 - 11)
sottrai 11 da 90,print(90 - 11)
90 meno 12,print(90 - 12)
sottrai 12 da 90,print(90 - 12)
90 meno 13,print(90 - 13)
sottrai 13 da 90,print(90 - 13)
90 meno 14,print(90 - 14)
sottrai 14 da 90,print(90 - 14)
90 meno 15,print(90 - 15)
sottrai 15 da 90,print(90 - 15)
90 meno 16,print(90 - 16)
sottrai 16 da 90,print(90 - 16)
90 meno 17,print(90 - 17)
sottrai 17 da 90,print(90 - 17)
90 meno 18,print(90 - 18)
sottrai 18 da 90,print(90 - 18)
90 meno 19,print(90 - 19)
sottrai 19 da 90,print(90 - 19)
90 meno 20,print(90 - 20)
sottrai 20 da 90,print(90 - 20)
90 meno 21,print(90 - 21)
sottrai 21 da 90,print(90 - 21)
90 meno 22,print(90 - 22)
sottrai 22 da 90,print(90 - 22)
90 meno 23,print(90 - 23)
sottrai 23 da 90,print(90 - 23)
90 meno 24,print(90 - 24)
sottrai 24 da 90,print(90 - 24)
90 meno 25,print(90 - 25)
sottrai 25 da 90,print(90 - 25)
90 meno 26,print(90 - 26)
sottrai 26 da 90,print(90 - 26)
90 meno 27,print(90 - 27)
sottrai 27 da 90,print(90 - 27)
90 meno 28,print(90 - 28)
sottrai 28 da 90,print(90 - 28)
90 meno 29,print(90 - 29)
sottrai 29 da 90,print(90 - 29)
90 meno 30,print(90 - 30)
sottrai 30 da 90,print(90 - 30)
90 meno 31,print(90 - 31)
sottrai 31 da 90,print(90 - 31)
90 meno 32,print(90 - 32)
sottrai 32 da 90,print(90 - 32)
90 meno 33,print(90 - 33)
sottrai 33 da 90,print(90 - 33)
90 meno 34,print(90 - 34)
sottrai 34 da 90,print(90 - 34)
90 meno 35,print(90 - 35)
sottrai 35 da 90,print(90 - 35)
90 meno 36,print(90 - 36)
sottrai 36 da 90,print(90 - 36)
90 meno 37,print(90 - 37)
sottrai 37 da 90,print(90 - 37)
90 meno 38,print(90 - 38)
sottrai 38 da 90,print(90 - 38)
90 meno 39,print(90 - 39)
sottrai 39 da 90,print(90 - 39)
90 meno 40,print(90 - 40)
sottrai 40 da 90,print(90 - 40)
90 meno 41,print(90 - 41)
sottrai 41 da 90,print(90 - 41)
90 meno 42,print(90 - 42)
sottrai 42 da 90,print(90 - 42)
90 meno 43,print(90 - 43)
sottrai 43 da 90,print(90 - 43)
90 meno 44,print(90 - 44)
sottrai 44 da 90,print(90 - 44)
90 meno 45,print(90 - 45)
sottrai 45 da 90,print(90 - 45)
90 meno 46,print(90 - 46)
sottrai 46 da 90,print(90 - 46)
90 meno 47,print(90 - 47)
sottrai 47 da 90,print(90 - 47)
90 meno 48,print(90 - 48)
sottrai 48 da 90,print(90 - 48)
90 meno 49,print(90 - 49)
sottrai 49 da 90,print(90 - 49)
90 meno 50,print(90 - 50)
sottrai 50 da 90,print(90 - 50)
90 meno 51,print(90 - 51)
sottrai 51 da 90,print(90 - 51)
90 meno 52,print(90 - 52)
sottrai 52 da 90,print(90 - 52)
90 meno 53,print(90 - 53)
sottrai 53 da 90,print(90 - 53)
90 meno 54,print(90 - 54)
sottrai 54 da 90,print(90 - 54)
90 meno 55,print(90 - 55)
sottrai 55 da 90,print(90 - 55)
90 meno 56,print(90 - 56)
sottrai 56 da 90,print(90 - 56)
90 meno 57,print(90 - 57)
sottrai 57 da 90,print(90 - 57)
90 meno 58,print(90 - 58)
sottrai 58 da 90,print(90 - 58)
90 meno 59,print(90 - 59)
sottrai 59 da 90,print(90 - 59)
90 meno 60,print(90 - 60)
sottrai 60 da 90,print(90 - 60)
90 meno 61,print(90 - 61)
sottrai 61 da 90,print(90 - 61)
90 meno 62,print(90 - 62)
sottrai 62 da 90,print(90 - 62)
90 meno 63,print(90 - 63)
sottrai 63 da 90,print(90 - 63)
90 meno 64,print(90 - 64)
sottrai 64 da 90,print(90 - 64)
90 meno 65,print(90 - 65)
sottrai 65 da 90,print(90 - 65)
90 meno 66,print(90 - 66)
sottrai 66 da 90,print(90 - 66)
90 meno 67,print(90 - 67)
sottrai 67 da 90,print(90 - 67)
90 meno 68,print(90 - 68)
sottrai 68 da 90,print(90 - 68)
90 meno 69,print(90 - 69)
sottrai 69 da 90,print(90 - 69)
90 meno 70,print(90 - 70)
sottrai 70 da 90,print(90 - 70)
90 meno 71,print(90 - 71)
sottrai 71 da 90,print(90 - 71)
90 meno 72,print(90 - 72)
sottrai 72 da 90,print(90 - 72)
90 meno 73,print(90 - 73)
sottrai 73 da 90,print(90 - 73)
90 meno 74,print(90 - 74)
sottrai 74 da 90,print(90 - 74)
90 meno 75,print(90 - 75)
sottrai 75 da 90,print(90 - 75)
90 meno 76,print(90 - 76)
sottrai 76 da 90,print(90 - 76)
90 meno 77,print(90 - 77)
sottrai 77 da 90,print(90 - 77)
90 meno 78,print(90 - 78)
sottrai 78 da 90,print(90 - 78)
90 meno 79,print(90 - 79)
sottrai 79 da 90,print(90 - 79)
90 meno 80,print(90 - 80)
sottrai 80 da 90,print(90 - 80)
90 meno 81,print(90 - 81)
sottrai 81 da 90,print(90 - 81)
90 meno 82,print(90 - 82)
sottrai 82 da 90,print(90 - 82)
90 meno 83,print(90 - 83)
sottrai 83 da 90,print(90 - 83)
90 meno 84,print(90 - 84)
sottrai 84 da 90,print(90 - 84)
90 meno 85,print(90 - 85)
sottrai 85 da 90,print(90 - 85)
90 meno 86,print(90 - 86)
sottrai 86 da 90,print(90 - 86)
90 meno 87,print(90 - 87)
sottrai 87 da 90,print(90 - 87)
90 meno 88,print(90 - 88)
sottrai 88 da 90,print(90 - 88)
90 meno 89,print(90 - 89)
sottrai 89 da 90,print(90 - 89)
90 meno 90,print(90 - 90)
sottrai 90 da 90,print(90 - 90)
91 meno 0,print(91 - 0)
91 meno 1,print(91 - 1)
91 meno 2,print(91 - 2)
91 meno 3,print(91 - 3)
91 meno 4,print(91 - 4)
91 meno 5,print(91 - 5)
91 meno 6,print(91 - 6)
91 meno 7,print(91 - 7)
91 meno 8,print(91 - 8)
91 meno 9,print(91 - 9)
91 meno 10,print(91 - 10)
91 meno 11,print(91 - 11)
91 meno 12,print(91 - 12)
91 meno 13,print(91 - 13)
91 meno 14,print(91 - 14)
91 meno 15,print(91 - 15)
91 meno 16,print(91 - 16)
91 meno 17,print(91 - 17)
91 meno 18,print(91 - 18)
91 meno 19,print(91 - 19)
91 meno 20,print(91 - 20)
91 meno 21,print(91 - 21)
91 meno 22,print(91 - 22)
91 meno 23,print(91 - 23)
91 meno 24,print(91 - 24)
91 meno 25,print(91 - 25)
91 meno 26,print(91 - 26)
91 meno 27,print(91 - 27)
91 meno 28,print(91 - 28)
91 meno 29,print(91 - 29)
91 meno 30,print(91 - 30)
91 meno 31,print(91 - 31)
91 meno 32,print(91 - 32)
91 meno 33,print(91 - 33)
91 meno 34,print(91 - 34)
91 meno 35,print(91 - 35)
91 meno 36,print(91 - 36)
91 meno 37,print(91 - 37)
91 meno 38,print(91 - 38)
91 meno 39,print(91 - 39)
91 meno 40,print(91 - 40)
91 meno 41,print(91 - 41)
91 meno 42,print(91 - 42)
91 meno 43,print(91 - 43)
91 meno 44,print(91 - 44)
91 meno 45,print(91 - 45)
91 meno 46,print(91 - 46)
91 meno 47,print(91 - 47)
91 meno 48,print(91 - 48)
91 meno 49,print(91 - 49)
91 meno 50,print(91 - 50)
91 meno 51,print(91 - 51)
91 meno 52,print(91 - 52)
91 meno 53,print(91 - 53)
91 meno 54,print(91 - 54)
91 meno 55,print(91 - 55)
91 meno 56,print(91 - 56)
91 meno 57,print(91 - 57)
91 meno 58,print(91 - 58)
91 meno 59,print(91 - 59)
91 meno 60,print(91 - 60)
91 meno 61,print(91 - 61)
91 meno 62,print(91 - 62)
91 meno 63,print(91 - 63)
91 meno 64,print(91 - 64)
91 meno 65,print(91 - 65)
91 meno 66,print(91 - 66)
91 meno 67,print(91 - 67)
91 meno 68,print(91 - 68)
91 meno 69,print(91 - 69)
91 meno 70,print(91 - 70)
91 meno 71,print(91 - 71)
91 meno 72,print(91 - 72)
91 meno 73,print(91 - 73)
91 meno 74,print(91 - 74)
91 meno 75,print(91 - 75)
91 meno 76,print(91 - 76)
91 meno 77,print(91 - 77)
91 meno 78,print(91 - 78)
91 meno 79,print(91 - 79)
91 meno 80,print(91 - 80)
91 meno 81,print(91 - 81)
91 meno 82,print(91 - 82)
91 meno 83,print(91 - 83)
91 meno 84,print(91 - 84)
91 meno 85,print(91 - 85)
91 meno 86,print(91 - 86)
91 meno 87,print(91 - 87)
91 meno 88,print(91 - 88)
91 meno 89,print(91 - 89)
91 meno 90,print(91 - 90)
91 meno 91,print(91 - 91)
92 meno 0,print(92 - 0)
92 meno 1,print(92 - 1)
92 meno 2,print(92 - 2)
92 meno 3,print(92 - 3)
92 meno 4,print(92 - 4)
92 meno 5,print(92 - 5)
92 meno 6,print(92 - 6)
92 meno 7,print(92 - 7)
92 meno 8,print(92 - 8)
92 meno 9,print(92 - 9)
92 meno 10,print(92 - 10)
92 meno 11,print(92 - 11)
92 meno 12,print(92 - 12)
92 meno 13,print(92 - 13)
92 meno 14,print(92 - 14)
92 meno 15,print(92 - 15)
92 meno 16,print(92 - 16)
92 meno 17,print(92 - 17)
92 meno 18,print(92 - 18)
92 meno 19,print(92 - 19)
92 meno 20,print(92 - 20)
92 meno 21,print(92 - 21)
92 meno 22,print(92 - 22)
92 meno 23,print(92 - 23)
92 meno 24,print(92 - 24)
92 meno 25,print(92 - 25)
92 meno 26,print(92 - 26)
92 meno 27,print(92 - 27)
92 meno 28,print(92 - 28)
92 meno 29,print(92 - 29)
92 meno 30,print(92 - 30)
92 meno 31,print(92 - 31)
92 meno 32,print(92 - 32)
92 meno 33,print(92 - 33)
92 meno 34,print(92 - 34)
92 meno 35,print(92 - 35)
92 meno 36,print(92 - 36)
92 meno 37,print(92 - 37)
92 meno 38,print(92 - 38)
92 meno 39,print(92 - 39)
92 meno 40,print(92 - 40)
92 meno 41,print(92 - 41)
92 meno 42,print(92 - 42)
92 meno 43,print(92 - 43)
92 meno 44,print(92 - 44)
92 meno 45,print(92 - 45)
92 meno 46,print(92 - 46)
92 meno 47,print(92 - 47)
92 meno 48,print(92 - 48)
92 meno 49,print(92 - 49)
92 meno 50,print(92 - 50)
92 meno 51,print(92 - 51)
92 meno 52,print(92 - 52)
92 meno 53,print(92 - 53)
92 meno 54,print(92 - 54)
92 meno 55,print(92 - 55)
92 meno 56,print(92 - 56)
92 meno 57,print(92 - 57)
92 meno 58,print(92 - 58)
92 meno 59,print(92 - 59)
92 meno 60,print(92 - 60)
92 meno 61,print(92 - 61)
92 meno 62,print(92 - 62)
92 meno 63,print(92 - 63)
92 meno 64,print(92 - 64)
92 meno 65,print(92 - 65)
92 meno 66,print(92 - 66)
92 meno 67,print(92 - 67)
92 meno 68,print(92 - 68)
92 meno 69,print(92 - 69)
92 meno 70,print(92 - 70)
92 meno 71,print(92 - 71)
92 meno 72,print(92 - 72)
92 meno 73,print(92 - 73)
92 meno 74,print(92 - 74)
92 meno 75,print(92 - 75)
92 meno 76,print(92 - 76)
92 meno 77,print(92 - 77)
92 meno 78,print(92 - 78)
92 meno 79,print(92 - 79)
92 meno 80,print(92 - 80)
92 meno 81,print(92 - 81)
92 meno 82,print(92 - 82)
92 meno 83,print(92 - 83)
92 meno 84,print(92 - 84)
92 meno 85,print(92 - 85)
92 meno 86,print(92 - 86)
92 meno 87,print(92 - 87)
92 meno 88,print(92 - 88)
92 meno 89,print(92 - 89)
92 meno 90,print(92 - 90)
92 meno 91,print(92 - 91)
92 meno 92,print(92 - 92)
93 meno 0,print(93 - 0)
93 meno 1,print(93 - 1)
93 meno 2,print(93 - 2)
93 meno 3,print(93 - 3)
93 meno 4,print(93 - 4)
93 meno 5,print(93 - 5)
93 meno 6,print(93 - 6)
93 meno 7,print(93 - 7)
93 meno 8,print(93 - 8)
93 meno 9,print(93 - 9)
93 meno 10,print(93 - 10)
93 meno 11,print(93 - 11)
93 meno 12,print(93 - 12)
93 meno 13,print(93 - 13)
93 meno 14,print(93 - 14)
93 meno 15,print(93 - 15)
93 meno 16,print(93 - 16)
93 meno 17,print(93 - 17)
93 meno 18,print(93 - 18)
93 meno 19,print(93 - 19)
93 meno 20,print(93 - 20)
93 meno 21,print(93 - 21)
93 meno 22,print(93 - 22)
93 meno 23,print(93 - 23)
93 meno 24,print(93 - 24)
93 meno 25,print(93 - 25)
93 meno 26,print(93 - 26)
93 meno 27,print(93 - 27)
93 meno 28,print(93 - 28)
93 meno 29,print(93 - 29)
93 meno 30,print(93 - 30)
93 meno 31,print(93 - 31)
93 meno 32,print(93 - 32)
93 meno 33,print(93 - 33)
93 meno 34,print(93 - 34)
93 meno 35,print(93 - 35)
93 meno 36,print(93 - 36)
93 meno 37,print(93 - 37)
93 meno 38,print(93 - 38)
93 meno 39,print(93 - 39)
93 meno 40,print(93 - 40)
93 meno 41,print(93 - 41)
93 meno 42,print(93 - 42)
93 meno 43,print(93 - 43)
93 meno 44,print(93 - 44)
93 meno 45,print(93 - 45)
93 meno 46,print(93 - 46)
93 meno 47,print(93 - 47)
93 meno 48,print(93 - 48)
93 meno 49,print(93 - 49)
93 meno 50,print(93 - 50)
93 meno 51,print(93 - 51)
93 meno 52,print(93 - 52)
93 meno 53,print(93 - 53)
93 meno 54,print(93 - 54)
93 meno 55,print(93 - 55)
93 meno 56,print(93 - 56)
93 meno 57,print(93 - 57)
93 meno 58,print(93 - 58)
93 meno 59,print(93 - 59)
93 meno 60,print(93 - 60)
93 meno 61,print(93 - 61)
93 meno 62,print(93 - 62)
93 meno 63,print(93 - 63)
93 meno 64,print(93 - 64)
93 meno 65,print(93 - 65)
93 meno 66,print(93 - 66)
93 meno 67,print(93 - 67)
93 meno 68,print(93 - 68)
93 meno 69,print(93 - 69)
93 meno 70,print(93 - 70)
93 meno 71,print(93 - 71)
93 meno 72,print(93 - 72)
93 meno 73,print(93 - 73)
93 meno 74,print(93 - 74)
93 meno 75,print(93 - 75)
93 meno 76,print(93 - 76)
93 meno 77,print(93 - 77)
93 meno 78,print(93 - 78)
93 meno 79,print(93 - 79)
93 meno 80,print(93 - 80)
93 meno 81,print(93 - 81)
93 meno 82,print(93 - 82)
93 meno 83,print(93 - 83)
93 meno 84,print(93 - 84)
93 meno 85,print(93 - 85)
93 meno 86,print(93 - 86)
93 meno 87,print(93 - 87)
93 meno 88,print(93 - 88)
93 meno 89,print(93 - 89)
93 meno 90,print(93 - 90)
93 meno 91,print(93 - 91)
93 meno 92,print(93 - 92)
93 meno 93,print(93 - 93)
94 meno 0,print(94 - 0)
94 meno 1,print(94 - 1)
94 meno 2,print(94 - 2)
94 meno 3,print(94 - 3)
94 meno 4,print(94 - 4)
94 meno 5,print(94 - 5)
94 meno 6,print(94 - 6)
94 meno 7,print(94 - 7)
94 meno 8,print(94 - 8)
94 meno 9,print(94 - 9)
94 meno 10,print(94 - 10)
94 meno 11,print(94 - 11)
94 meno 12,print(94 - 12)
94 meno 13,print(94 - 13)
94 meno 14,print(94 - 14)
94 meno 15,print(94 - 15)
94 meno 16,print(94 - 16)
94 meno 17,print(94 - 17)
94 meno 18,print(94 - 18)
94 meno 19,print(94 - 19)
94 meno 20,print(94 - 20)
94 meno 21,print(94 - 21)
94 meno 22,print(94 - 22)
94 meno 23,print(94 - 23)
94 meno 24,print(94 - 24)
94 meno 25,print(94 - 25)
94 meno 26,print(94 - 26)
94 meno 27,print(94 - 27)
94 meno 28,print(94 - 28)
94 meno 29,print(94 - 29)
94 meno 30,print(94 - 30)
94 meno 31,print(94 - 31)
94 meno 32,print(94 - 32)
94 meno 33,print(94 - 33)
94 meno 34,print(94 - 34)
94 meno 35,print(94 - 35)
94 meno 36,print(94 - 36)
94 meno 37,print(94 - 37)
94 meno 38,print(94 - 38)
94 meno 39,print(94 - 39)
94 meno 40,print(94 - 40)
94 meno 41,print(94 - 41)
94 meno 42,print(94 - 42)
94 meno 43,print(94 - 43)
94 meno 44,print(94 - 44)
94 meno 45,print(94 - 45)
94 meno 46,print(94 - 46)
94 meno 47,print(94 - 47)
94 meno 48,print(94 - 48)
94 meno 49,print(94 - 49)
94 meno 50,print(94 - 50)
94 meno 51,print(94 - 51)
94 meno 52,print(94 - 52)
94 meno 53,print(94 - 53)
94 meno 54,print(94 - 54)
94 meno 55,print(94 - 55)
94 meno 56,print(94 - 56)
94 meno 57,print(94 - 57)
94 meno 58,print(94 - 58)
94 meno 59,print(94 - 59)
94 meno 60,print(94 - 60)
94 meno 61,print(94 - 61)
94 meno 62,print(94 - 62)
94 meno 63,print(94 - 63)
94 meno 64,print(94 - 64)
94 meno 65,print(94 - 65)
94 meno 66,print(94 - 66)
94 meno 67,print(94 - 67)
94 meno 68,print(94 - 68)
94 meno 69,print(94 - 69)
94 meno 70,print(94 - 70)
94 meno 71,print(94 - 71)
94 meno 72,print(94 - 72)
94 meno 73,print(94 - 73)
94 meno 74,print(94 - 74)
94 meno 75,print(94 - 75)
94 meno 76,print(94 - 76)
94 meno 77,print(94 - 77)
94 meno 78,print(94 - 78)
94 meno 79,print(94 - 79)
94 meno 80,print(94 - 80)
94 meno 81,print(94 - 81)
94 meno 82,print(94 - 82)
94 meno 83,print(94 - 83)
94 meno 84,print(94 - 84)
94 meno 85,print(94 - 85)
94 meno 86,print(94 - 86)
94 meno 87,print(94 - 87)
94 meno 88,print(94 - 88)
94 meno 89,print(94 - 89)
94 meno 90,print(94 - 90)
94 meno 91,print(94 - 91)
94 meno 92,print(94 - 92)
94 meno 93,print(94 - 93)
94 meno 94,print(94 - 94)
95 meno 0,print(95 - 0)
95 meno 1,print(95 - 1)
95 meno 2,print(95 - 2)
95 meno 3,print(95 - 3)
95 meno 4,print(95 - 4)
95 meno 5,print(95 - 5)
95 meno 6,print(95 - 6)
95 meno 7,print(95 - 7)
95 meno 8,print(95 - 8)
95 meno 9,print(95 - 9)
95 meno 10,print(95 - 10)
95 meno 11,print(95 - 11)
95 meno 12,print(95 - 12)
95 meno 13,print(95 - 13)
95 meno 14,print(95 - 14)
95 meno 15,print(95 - 15)
95 meno 16,print(95 - 16)
95 meno 17,print(95 - 17)
95 meno 18,print(95 - 18)
95 meno 19,print(95 - 19)
95 meno 20,print(95 - 20)
95 meno 21,print(95 - 21)
95 meno 22,print(95 - 22)
95 meno 23,print(95 - 23)
95 meno 24,print(95 - 24)
95 meno 25,print(95 - 25)
95 meno 26,print(95 - 26)
95 meno 27,print(95 - 27)
95 meno 28,print(95 - 28)
95 meno 29,print(95 - 29)
95 meno 30,print(95 - 30)
95 meno 31,print(95 - 31)
95 meno 32,print(95 - 32)
95 meno 33,print(95 - 33)
95 meno 34,print(95 - 34)
95 meno 35,print(95 - 35)
95 meno 36,print(95 - 36)
95 meno 37,print(95 - 37)
95 meno 38,print(95 - 38)
95 meno 39,print(95 - 39)
95 meno 40,print(95 - 40)
95 meno 41,print(95 - 41)
95 meno 42,print(95 - 42)
95 meno 43,print(95 - 43)
95 meno 44,print(95 - 44)
95 meno 45,print(95 - 45)
95 meno 46,print(95 - 46)
95 meno 47,print(95 - 47)
95 meno 48,print(95 - 48)
95 meno 49,print(95 - 49)
95 meno 50,print(95 - 50)
95 meno 51,print(95 - 51)
95 meno 52,print(95 - 52)
95 meno 53,print(95 - 53)
95 meno 54,print(95 - 54)
95 meno 55,print(95 - 55)
95 meno 56,print(95 - 56)
95 meno 57,print(95 - 57)
95 meno 58,print(95 - 58)
95 meno 59,print(95 - 59)
95 meno 60,print(95 - 60)
95 meno 61,print(95 - 61)
95 meno 62,print(95 - 62)
95 meno 63,print(95 - 63)
95 meno 64,print(95 - 64)
95 meno 65,print(95 - 65)
95 meno 66,print(95 - 66)
95 meno 67,print(95 - 67)
95 meno 68,print(95 - 68)
95 meno 69,print(95 - 69)
95 meno 70,print(95 - 70)
95 meno 71,print(95 - 71)
95 meno 72,print(95 - 72)
95 meno 73,print(95 - 73)
95 meno 74,print(95 - 74)
95 meno 75,print(95 - 75)
95 meno 76,print(95 - 76)
95 meno 77,print(95 - 77)
95 meno 78,print(95 - 78)
95 meno 79,print(95 - 79)
95 meno 80,print(95 - 80)
95 meno 81,print(95 - 81)
95 meno 82,print(95 - 82)
95 meno 83,print(95 - 83)
95 meno 84,print(95 - 84)
95 meno 85,print(95 - 85)
95 meno 86,print(95 - 86)
95 meno 87,print(95 - 87)
95 meno 88,print(95 - 88)
95 meno 89,print(95 - 89)
95 meno 90,print(95 - 90)
95 meno 91,print(95 - 91)
95 meno 92,print(95 - 92)
95 meno 93,print(95 - 93)
95 meno 94,print(95 - 94)
95 meno 95,print(95 - 95)
96 meno 0,print(96 - 0)
96 meno 1,print(96 - 1)
96 meno 2,print(96 - 2)
96 meno 3,print(96 - 3)
96 meno 4,print(96 - 4)
96 meno 5,print(96 - 5)
